,DF_avg max speed,DF_distance in poss,DF_on-target,DF_red,DF_tackles suffered losing ball,DF_total passes,DF_yellow,FW_distance,FW_distance not in poss,FW_fouls suffered,FW_low activity,FW_on-target,FW_sprints,FW_time on opposite half,FW_total passes,FW_total shots,GK_avg max speed,GK_distance in poss,GK_fouls suffered,GK_low activity,GK_passes_succeed,GK_saves,GK_time on opposite third,GK_total passes,GK_yellow,MF_fouls suffered,MF_on-target,MF_passes accuracy,MF_red,MF_tackles gaining ball,MF_tackles suffered losing ball,MF_time on opposite half,MF_time on opposite pen,MF_time on opposite third
249,0.2899999999999991,-3159.0,-2.0,0.0,0.0,-98.0,-1.0,-135.0,256.0,3.0,-3.333333333333343,6.0,-16.0,-7.0,6.0,5.0,4.359999999999999,1061.0,1.0,-5.0,20.0,4.0,0.0,22.0,0.0,-2.0,-5.0,6.5,0.0,-2.0,1.0,-56.0,-2.666666666666667,-7.666666666666668
250,-2.593,-3087.0,1.0,0.0,1.0,-100.0,0.0,-1073.0,2350.0,3.0,2.200000000000003,0.0,17.0,20.0,-53.0,1.0,-6.4,-1215.0,-1.0,1.0,-6.0,-3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,-2.0,-42.0,0.0,1.0
251,2.593,3087.0,-1.0,0.0,-1.0,100.0,0.0,1073.0,-2350.0,-3.0,-2.200000000000003,0.0,-17.0,-20.0,53.0,-1.0,6.4,1215.0,1.0,-1.0,6.0,3.0,0.0,-3.0,0.0,-2.0,-1.0,0.0,0.0,-2.0,2.0,42.0,0.0,-1.0
252,2.9925,1623.0,2.0,0.0,0.0,96.0,0.0,-19286.0,-8138.0,-5.0,0.8333333333333286,-3.0,-94.0,-1.0,-62.0,-3.0,-1.8550000000000024,-616.0,0.0,4.0,1.0,0.0,0.0,-18.0,0.0,6.0,1.0,-5.857142857142861,0.0,0.0,0.0,278.0,2.952380952380953,15.142857142857142
253,-2.9925,-1623.0,-2.0,0.0,0.0,-96.0,0.0,19286.0,8138.0,5.0,-0.8333333333333286,3.0,94.0,1.0,62.0,3.0,1.8550000000000024,616.0,0.0,-4.0,-1.0,0.0,0.0,18.0,0.0,-6.0,-1.0,5.857142857142861,0.0,0.0,0.0,-278.0,-2.952380952380953,-15.142857142857142
254,0.2600000000000015,-722.0,0.0,0.0,1.0,0.0,-1.0,-997.0,2933.0,2.0,5.700000000000003,-3.0,-28.0,-9.0,-63.0,4.0,-2.0100000000000016,-1130.0,-1.0,2.0,-22.0,4.0,0.0,-6.0,0.0,-1.0,-2.0,-4.75,0.0,1.0,0.0,-158.0,-1.2000000000000002,-16.45
255,-0.2600000000000015,722.0,0.0,0.0,-1.0,0.0,1.0,997.0,-2933.0,-2.0,-5.700000000000003,3.0,28.0,9.0,63.0,-4.0,2.0100000000000016,1130.0,1.0,-2.0,22.0,-4.0,0.0,6.0,0.0,1.0,2.0,4.75,0.0,-1.0,0.0,158.0,1.2000000000000002,16.45
256,0.1983333333333305,5076.0,0.0,0.0,0.0,130.0,0.0,1001.0,-976.0,0.0,12.166666666666671,-1.0,-15.0,34.0,-13.0,0.0,-6.630000000000001,771.0,0.0,-3.0,8.0,0.0,0.0,13.0,0.0,3.0,-6.0,9.708333333333329,0.0,0.0,0.0,-186.0,-3.125,-11.125
257,-0.1983333333333305,-5076.0,0.0,0.0,0.0,-130.0,0.0,-1001.0,976.0,0.0,-12.166666666666671,1.0,15.0,-34.0,13.0,0.0,6.630000000000001,-771.0,0.0,3.0,-8.0,0.0,0.0,-13.0,0.0,-3.0,6.0,-9.708333333333329,0.0,0.0,0.0,186.0,3.125,11.125
258,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
